2017-04-21 08:08:29.801 INFO  DefaultFactory Logging to 'C:\Sebastian\Project\intro-to-nservicebus-3-multiple-endpoints\ClientUI\bin\Debug\' with level Info
2017-04-21 08:08:30.474 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 4/20/2017.
2017-04-21 08:08:31.256 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'ASIA-PACIFIC\Sebastian_W' to group 'Performance Monitor Users' because the user is already in group.
2017-04-21 08:08:31.324 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 08:08:31.327 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 08:08:31.329 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2017-04-21 08:08:31.413 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 08:08:36.492 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = e9e07d9d-bc82-41c2-84a9-97202eb549c5
2017-04-21 08:08:36.672 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 08:08:44.611 INFO  ClientUI.Program Sending PlaceOrder command, OrderId = e5d377e4-e03f-4cca-a47c-e379e2c0f5b0
2017-04-21 08:08:44.642 INFO  ClientUI.Program Press 'P' to place an order, or 'Q' to quit.
2017-04-21 08:08:46.180 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2017-04-21 08:08:46.208 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2017-04-21 08:08:50.466 INFO  DefaultFactory Logging to 'C:\Sebastian\Project\intro-to-nservicebus-3-multiple-endpoints\ClientUI\bin\Debug\' with level Info
2017-04-21 08:08:51.286 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 4/20/2017.
